,name,form,rating,rawErg,erg,age,sire,fee,crop,dam,ems3,bmSire,damForm,sex_C,sex_F,sex_G,sex_R,avgSireRating,avgSireErg,avgSireForm,avgDamRating,avgDamErg,avgBmSireRating,avgBmSireErg,avgBmSireForm
1,Aussie Pride,2,86,80,71,8,Curlin,150000.0,9,Bounding,57,Lonhro,4,0.0,0.0,1.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.77345219514147,35.73662637905044,61.4016963821187,36.85082326142928,1.3594552500633663
3,Mendelssohn,4,101,73,73,11,Scat Daddy,30000.0,7,Leslie's Lady,56,Tricky Creek,0,1.0,0.0,0.0,0.0,73.26225357550668,31.552703697716126,1.7150573009210992,68.44011886180814,30.653293045717106,68.84505943090407,22.659979856191885,1.7189105001267329
5,Brother in Arms,1,79,90,91,8,War Front,250000.0,11,Believe You Can,57,Proud Citizen,4,0.0,0.0,1.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,69.21876175611318,47.85596776990702,65.12318214995608,34.62348950554818,1.630972761920855
7,Gun It,2,97,150,150,10,Tapit,300000.0,11,Miss Besilu,79,Medaglia d'Oro,3,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,70.85678552847482,45.98662637905044,69.32199187627299,42.200425429038376,1.6913922770924363
8,Declarationofpeace,0,85,127,118,11,War Front,150000.0,8,Serena's Cat,67,Storm Cat,0,1.0,0.0,0.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,67.3772447386927,47.917108324900376,67.87505798218025,28.003393941971595,1.6425347822934346
9,Miss Besilu,3,83,82,0,15,Medaglia d'Oro,100000.0,6,Quiet Dance,65,Quiet American,2,0.0,1.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,67.02558421288161,26.80359241350957,67.44300990272167,25.829015943782096,1.639462000008791
11,Tatweej,2,103,83,74,10,Tapit,300000.0,11,Tiz Miz Sue,55,Tiznow,4,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,71.79087894936137,36.756885888354255,63.472502345956734,37.595130783797046,1.56456225658395
12,Lidstrom,2,76,93,83,8,Tapit,300000.0,13,Seeking Gabrielle,58,Forestry,2,0.0,0.0,1.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,70.5915304529784,40.20282261061466,67.31342856701326,27.948197062472484,1.6599086178278053
13,Metro,0,58,77,67,5,Quality Road,200000.0,10,True Feelings,56,Latent Heat,2,1.0,0.0,0.0,0.0,72.2363092855436,47.52227802858272,1.6724044243674687,70.41876175611317,45.322634436573686,64.50562852683396,40.61679033097211,1.5450770400608318
15,Conquistador,2,83,53,60,11,Tiznow,20000.0,13,Moonbow,49,Distorted Humor,0,0.0,0.0,1.0,0.0,64.93081402329211,34.74062954177614,1.516337504511355,66.1425891463561,29.73996978428783,68.18261323721907,35.74295483005538,1.6589007919699306
17,Sierra Leone,4,112,148,124,5,Gun Runner,70000.0,3,Heavenly Love,72,Malibu Moon,4,1.0,0.0,0.0,0.0,73.34702317456387,49.779264484547674,1.729077759178228,70.10678552847482,46.31995971238377,66.75195339381357,37.86865779961678,1.6177650182973196
18,Mohaymen,4,96,150,146,13,Tapit,125000.0,8,Justwhistledixie,81,Dixie Union,4,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,72.2050891463561,62.42746978428783,65.96197730974613,32.54471999259357,1.6636348755430077
19,Air Vice Marshal,2,95,65,65,13,War Front,60000.0,6,Gold Vault,50,Arch,2,1.0,0.0,0.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,71.25241741089982,32.679962811431174,68.42173560102,36.15175975089136,1.6813547820986317
20,I'll Take Charge,2,82,128,0,14,Indian Charlie,70000.0,13,Take Charge Lady,72,Dehere,4,0.0,1.0,0.0,0.0,70.62534918157442,9.064883517206725,1.5361539111449063,67.94011886180814,33.73662637905044,67.43395019955832,25.150299367792464,1.7291958485078907
23,Alexander Valley,1,74,150,124,8,Medaglia d'Oro,150000.0,13,Tara's Tango,75,Unbridled's Song,4,0.0,0.0,1.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,68.27345219514147,45.403293045717106,67.19858605804627,32.42629377704712,1.5784486517719196
24,Beatbox,3,96,109,127,8,Pioneerof The Nile,110000.0,8,Magical World,71,Distorted Humor,2,1.0,0.0,0.0,0.0,68.84114625319452,37.62342742035382,1.6148901238167659,67.02010188154983,46.988536896328945,68.18261323721907,35.74295483005538,1.6589007919699306
25,Tapit High,0,73,62,57,12,Tapit,125000.0,9,Silver Colors,46,Mr. Greeley,0,0.0,0.0,1.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,68.80581616726413,38.417108324900376,64.57079260162652,28.80666560646624,1.5970479210593018
26,Lumino,2,60,67,58,9,Medaglia d'Oro,150000.0,12,Exotic Bloom,52,Montbrook,2,1.0,0.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,69.52010188154983,34.988536896328945,62.770920878857005,21.38710344255046,1.5475524958929057
27,Muth,4,98,62,22,5,Good Magic,20000.0,2,Hoppa,58,Uncle Mo,2,1.0,0.0,0.0,0.0,68.12597159218446,34.160493891606244,1.6040611925654755,68.38922057651797,28.80359241350957,66.44564384747675,44.79464448273666,1.494745436641138
28,Marconi,4,96,68,68,11,Tapit,150000.0,10,Ponche De Leona,47,Ponche,0,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,66.3293404878229,35.44919358066194,66.68542842277985,32.789301103240355,1.6169234668694388
29,Capensis,3,91,137,126,7,Tapit,300000.0,14,Tara's Tango,69,Unbridled's Song,4,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,68.27345219514147,45.403293045717106,67.19858605804627,32.42629377704712,1.5784486517719196
30,Chestertown,0,90,101,113,9,Tapit,20000.0,12,Artemis Agrotera,62,Roman Ruler,4,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,68.55209508944651,45.85596776990702,65.46383625103032,33.02066872526523,1.710717438236422
31,Awe Emma,2,88,134,104,11,War Front,150000.0,8,Awesome Maria,68,Maria's Mon,4,0.0,1.0,0.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,64.10678552847482,41.653293045717106,64.64315033336986,25.173971687985176,1.6211958602752907
32,Sedona,2,81,82,91,5,Curlin,175000.0,12,America,57,A.P. Indy,3,0.0,1.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.63703279551521,41.756885888354255,67.2337085684556,31.33445268873147,1.5803384693373888
35,Inheritance,2,78,58,75,13,Tapit,20000.0,8,Silver Wolf,46,Silver Deputy,0,0.0,1.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,64.85678552847482,30.819959712383774,65.59756538188591,20.332579889899556,1.6443842817044205
39,Vintage Print,2,95,82,73,9,Curlin,100000.0,8,Molly Morgan,58,Ghostzapper,4,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,68.52010188154983,40.63139403918609,67.91277681261727,42.1118052873438,1.667686152622657
40,Nafisa,1,72,85,77,5,Quality Road,200000.0,10,Ithinkisawapudycat,59,Bluegrass Cat,2,0.0,1.0,0.0,0.0,72.2363092855436,47.52227802858272,1.6724044243674687,73.01563479676098,62.65775091936697,63.78125099628078,37.19683342682828,1.668100858774246
41,Pacific,0,56,60,0,15,Smart Strike,20000.0,14,Mini Sermon,57,Pulpit,4,1.0,0.0,0.0,0.0,71.08049349297998,26.514178888173365,1.5409324363820702,62.17549433397675,28.52611665758502,68.92912981417003,31.646506977278978,1.688995738101273
43,Thielen,0,57,110,108,5,Curlin,175000.0,12,Angela Renee,66,Bernardini,4,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.44011886180814,42.153293045717106,68.12746428142634,45.370845224131926,1.65433433077508
46,Cyrus Alexander,3,98,68,0,14,Medaglia d'Oro,100000.0,7,Supercharger,54,A.P. Indy,2,1.0,0.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,70.02345219514147,31.819959712383774,67.2337085684556,31.33445268873147,1.5803384693373888
47,Coach Prime,2,84,56,48,5,Quality Road,200000.0,10,Act Now,45,Street Sense,2,1.0,0.0,0.0,0.0,72.2363092855436,47.52227802858272,1.6724044243674687,68.52345219514147,32.73662637905044,68.5792725978977,40.852474846553235,1.698412165151567
48,Gun Party,2,83,94,85,5,Curlin,175000.0,12,Carina Mia,62,Malibu Moon,4,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.02558421288161,34.530865140782296,66.75195339381357,37.86865779961678,1.6177650182973196
49,Diamondsandpearls,2,79,47,47,11,Congrats,20000.0,8,Azalea Belle,47,Dixie Union,0,0.0,1.0,0.0,0.0,63.870868813321394,23.254421914780302,1.6640717596226962,61.76758914635611,30.48996978428783,65.96197730974613,32.54471999259357,1.6636348755430077
